IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
179.253.244.113,443,TRUE,LAX,US,California,,,AS906
179.255.114.57,443,TRUE,LAX,US,California,,,AS906
154.26.178.77,443,TRUE,LAX,US,California,,,AS906
103.135.250.133,443,TRUE,HKG,HK,,,,AS906
179.255.144.153,443,TRUE,LAX,US,California,,,AS906
45.192.206.31,443,TRUE,NRT,JP,Tokyo,,,AS61112
50.114.55.60,443,TRUE,SIN,SG,,,,AS61112
179.253.250.133,443,TRUE,LAX,US,California,,,AS906
83.147.15.17,443,TRUE,TPE,TW,Taiwan,,,AS38136
45.92.158.89,443,TRUE,SIN,SG,,,,AS8888
156.226.175.115,443,TRUE,FRA,DE,Hesse,,,AS61112
172.93.186.166,443,TRUE,SIN,SG,,,,AS8888
141.11.87.48,443,TRUE,TPE,TW,Taiwan,,,AS38136
45.192.206.151,443,TRUE,NRT,JP,Tokyo,,,AS61112
191.223.214.19,443,TRUE,HKG,HK,,,,AS906
156.246.95.196,443,TRUE,NRT,JP,Tokyo,,,AS61112
191.222.219.135,443,TRUE,HKG,HK,,,,AS906
82.153.135.54,443,TRUE,SIN,SG,,,,AS61112
185.81.28.39,443,TRUE,SIN,SG,,,,AS61112
45.192.248.36,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.116.40,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.192.207.40,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.246.91.88,443,TRUE,NRT,JP,Tokyo,,,AS61112
103.117.101.93,443,TRUE,HKG,HK,,,,AS906
156.231.112.26,443,TRUE,NRT,JP,Tokyo,,,AS61112
64.186.234.115,443,TRUE,LAX,US,California,,,AS906
45.192.249.63,443,TRUE,NRT,JP,Tokyo,,,AS61112
103.149.46.74,443,TRUE,SIN,SG,,,,AS8888
104.192.92.148,443,TRUE,SIN,SG,,,,AS61112
179.253.241.85,443,TRUE,LAX,US,California,,,AS906
172.93.186.228,443,TRUE,SIN,SG,,,,AS8888
154.16.10.45,443,TRUE,HKG,HK,,,,AS61112
154.83.93.197,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.253.250.120,443,TRUE,LAX,US,California,,,AS906
151.242.125.130,443,TRUE,HKG,HK,,,,AS61112
185.81.29.47,443,TRUE,SIN,SG,,,,AS61112
45.192.206.184,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.89.219.147,443,TRUE,SIN,SG,,,,AS154690
83.147.15.86,443,TRUE,TPE,TW,Taiwan,,,AS38136
151.242.164.205,443,TRUE,NRT,JP,Tokyo,,,AS51847
45.192.206.135,443,TRUE,NRT,JP,Tokyo,,,AS61112
185.126.80.83,443,TRUE,SIN,SG,,,,AS61112
103.117.100.101,443,TRUE,HKG,HK,,,,AS906
154.83.95.233,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.207.156.131,443,TRUE,HKG,HK,,,,AS61112
154.3.39.40,443,TRUE,HKG,HK,,,,AS906
179.253.254.122,443,TRUE,LAX,US,California,,,AS906
185.81.28.101,443,TRUE,SIN,SG,,,,AS61112
45.192.207.249,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.207.158.243,443,TRUE,HKG,HK,,,,AS9269
179.255.154.39,443,TRUE,LAX,US,California,,,AS906
179.253.250.0,443,TRUE,LAX,US,California,,,AS906
83.147.12.252,443,TRUE,TPE,TW,Taiwan,,,AS38136
179.253.225.172,443,TRUE,LAX,US,California,,,AS906
45.192.206.218,443,TRUE,NRT,JP,Tokyo,,,AS61112
82.152.91.210,443,TRUE,TPE,TW,Taiwan,,,AS38136
45.89.219.13,443,TRUE,SIN,SG,,,,AS8888
45.128.222.124,443,TRUE,SIN,SG,,,,AS8888
154.83.95.6,443,TRUE,NRT,JP,Tokyo,,,AS61112
156.231.116.179,443,TRUE,NRT,JP,Tokyo,,,AS61112
50.114.55.80,443,TRUE,SIN,SG,,,,AS61112
156.231.117.95,443,TRUE,NRT,JP,Tokyo,,,AS61112
179.255.108.180,443,TRUE,LAX,US,California,,,AS906
179.255.102.54,443,TRUE,LAX,US,California,,,AS906
191.223.218.24,443,TRUE,HKG,HK,,,,AS906
179.253.246.191,443,TRUE,LAX,US,California,,,AS906
185.155.235.58,443,TRUE,HKG,HK,,,,AS61112
45.192.249.158,443,TRUE,NRT,JP,Tokyo,,,AS61112
83.147.13.154,443,TRUE,TPE,TW,Taiwan,,,AS61112
185.155.235.235,443,TRUE,HKG,HK,,,,AS61112
45.87.92.138,443,TRUE,SIN,SG,,,,AS8888
45.192.207.188,443,TRUE,NRT,JP,Tokyo,,,AS61112
154.17.20.66,443,TRUE,LAX,US,California,,,AS906
185.81.28.7,443,TRUE,SIN,SG,,,,AS61112
191.223.217.255,443,TRUE,HKG,HK,,,,AS906
45.66.128.2,443,TRUE,SIN,SG,,,,AS8888
179.253.240.96,443,TRUE,LAX,US,California,,,AS906
179.255.102.6,443,TRUE,LAX,US,California,,,AS906
203.55.176.212,443,TRUE,SIN,SG,,,,AS8888
154.26.189.91,443,TRUE,LAX,US,California,,,AS906
154.17.29.72,443,TRUE,LAX,US,California,,,AS906
185.81.28.243,443,TRUE,SIN,SG,,,,AS61112
156.226.173.114,443,TRUE,HKG,HK,,,,AS61112
154.21.91.54,443,TRUE,LAX,US,California,,,AS906
179.253.228.118,443,TRUE,LAX,US,California,,,AS906
185.37.255.212,443,TRUE,SIN,SG,,,,AS8888
83.147.12.20,443,TRUE,TPE,TW,Taiwan,,,AS61112
45.192.206.187,443,TRUE,NRT,JP,Tokyo,,,AS61112
23.158.136.15,443,TRUE,LAX,US,California,,,AS61112
151.242.125.254,443,TRUE,HKG,HK,,,,AS61112
203.55.176.47,443,TRUE,SIN,SG,,,,AS8888
103.117.101.109,443,TRUE,HKG,HK,,,,AS906
179.253.241.115,443,TRUE,LAX,US,California,,,AS906
64.186.245.27,443,TRUE,LAX,US,California,,,AS906
179.253.234.210,443,TRUE,LAX,US,California,,,AS906
103.135.251.156,443,TRUE,HKG,HK,,,,AS906
179.255.151.30,443,TRUE,LAX,US,California,,,AS906
64.186.227.159,443,TRUE,LAX,US,California,,,AS906
154.12.190.144,443,TRUE,NRT,JP,Tokyo,,,AS906
151.242.125.197,443,TRUE,HKG,HK,,,,AS61112
45.207.159.187,443,TRUE,TPE,TW,Taiwan,,,AS38136
166.0.198.193,443,TRUE,TPE,TW,Taiwan,,,AS61112
156.246.95.216,443,TRUE,NRT,JP,Tokyo,,,AS61112
154.21.82.24,443,TRUE,LAX,US,California,,,AS906
156.231.117.230,443,TRUE,NRT,JP,Tokyo,,,AS61112
45.192.204.105,443,TRUE,HKG,HK,,,,AS61112
216.234.142.42,443,TRUE,LAX,US,California,,,AS906
45.87.92.220,443,TRUE,SIN,SG,,,,AS8888
23.158.136.185,443,TRUE,LAX,US,California,,,AS61112
83.147.15.253,443,TRUE,TPE,TW,Taiwan,,,AS38136
45.202.245.214,443,TRUE,NRT,JP,Tokyo,,,AS51847
45.192.204.162,443,TRUE,HKG,HK,,,,AS61112
69.63.196.2,443,TRUE,LAX,US,California,,,AS906
23.158.136.220,443,TRUE,LAX,US,California,,,AS61112
156.246.90.21,443,TRUE,NRT,JP,Tokyo,,,AS61112
167.253.159.197,443,TRUE,SIN,SG,,,,AS8888
156.231.117.99,443,TRUE,NRT,JP,Tokyo,,,AS61112
64.186.243.141,443,TRUE,LAX,US,California,,,AS906
179.255.144.140,443,TRUE,LAX,US,California,,,AS906
45.92.158.166,443,TRUE,SIN,SG,,,,AS8888
203.55.176.251,443,TRUE,SIN,SG,,,,AS8888
